X,Y,OBJECTID,WINE_RT_NA,INFR_1,icon_url
18.8212799554693,-34.0142790226315,"272",SH149,,
18.8203839722617,-34.0236419667071,"273",SH150,,
18.8203199634014,-34.0260659863266,"274",SH151,,
18.820366994632,-34.0268180176532,"275",SH152,,
18.8210920220407,-34.0289820145909,"276",SH153,,
18.822573046146,-34.0311780220324,"277",SH154,,
18.8235380167931,-34.0334470162073,"278",SH155,,
18.8239740452676,-34.0356140047569,"279",SH156,,
18.8243670451607,-34.038808035985,"280",SH157,,
18.824576023838,-34.0405560284887,"281",SH158,,
18.79429104384,-34.0555660391925,"282",SH159,,
18.7854459672793,-34.0529869936724,"283","160",,
18.8772330123097,-34.0775350372743,"284",SH161,,
18.8822719542757,-34.0757450430836,"285",SH162,,
18.8825100015464,-34.0758830229958,"286",SH163,,
18.8830249570178,-34.0755540089097,"287",SH164,,
18.8869669913022,-34.0741550235551,"288",SH165,,
18.8879930367027,-34.0737549669659,"289",SH166,,
18.8889539963474,-34.0734950294297,"290",SH167,,
18.8887720087642,-34.0725699955032,"291",SH168,,
18.8885509926764,-34.0718349662683,"292",SH169,,
18.8826879814306,-34.0758199965477,"293",SH170,,
18.8846769534181,-34.079917029825,"294",SH171,,
18.8864600388542,-34.0798709999914,"295",SH172,,
18.8769529523931,-34.0777579733074,"296",SH173,,
18.8729109560539,-34.0784739929028,"297",SH174,,
18.8689479669882,-34.0785670142496,"298",SH175,,
18.6814980133255,-33.9293600197741,"299",SH1,,
18.6829380517944,-33.9317869752446,"300",SH2,,
18.7927120097088,-33.9489980051587,"301",SH3,,
18.7818180401952,-33.9442529644118,"302",SH4,,
18.7747269825494,-33.9424680425783,"303",SH5,,
18.7713180035351,-33.9422289811516,"304",SH6,,
18.7701300523988,-33.9421210186166,"305",SH7,,
18.7465220398445,-33.9419629779197,"306",SH8,,
18.7713470384345,-33.9421310379954,"307",SH9,,
18.7747629632389,-33.9424010340722,"308",SH10,,
18.7817839470404,-33.9442180145459,"309",SH11,,
18.7847190012063,-33.9449820054292,"310",SH12,,
18.7927199585243,-33.9489320259628,"311",SH13,,
18.8108459532669,-33.9500010432256,"312",SH14,,
18.8126109563137,-33.9495309766062,"313",SH15,,
18.8301940384844,-33.9451059549685,"314",SH16,,
18.8284119464838,-33.9407620372063,"315",SH17,,
18.8187840184613,-33.91830603003,"316",SH18,,
18.8187150264262,-33.9170289848595,"317",SH19,,
18.8188700465978,-33.9159790068804,"318",SH20,,
18.8188449461016,-33.9159339830499,"319",SH21,,
18.8185699621725,-33.9142980007691,"320",SH22,,
18.8194079489297,-33.9105810008669,"321",SH23,,
18.819664968932,-33.9094019792253,"322",SH24,,
18.817251023246,-33.9055449558167,"323",SH25,,
18.8163059802219,-33.9047600187544,"324",SH26,,
18.8146289511999,-33.9034859695117,"325",SH27,,
18.812998012256,-33.9024680056876,"326",SH28,,
18.8194130441511,-33.9087289689655,"327",SH29,,
18.8188570269205,-33.9133930044909,"328",SH30,,
18.8141320083627,-33.9110179738011,"329",SH31,,
18.8135700228212,-33.9109340021836,"330",SH32,,
18.8135099461752,-33.9109139871613,"331",SH33,,
18.8112060531169,-33.9104090395606,"332",SH34,,
18.8188980080522,-33.9152850410484,"333",SH35,,
18.8273289996985,-33.940747991908,"334",SH36,,
18.815089998098,-33.949273008878,"335",SH37,,
18.8124479626757,-33.9499109965629,"336",SH38,,
18.6955820187156,-33.9514199663924,"337",SH39,,
18.6814980133255,-33.9293600197741,"338",SH1a,,
18.7817839470404,-33.9442180145459,"339",SH11a,,
18.8716240074298,-33.8009789633267,"340",S1,brown sign,
18.8758760077631,-33.8113440292912,"341",S2,,
18.8760340452764,-33.8116250236707,"342",S3,,
18.8799000041083,-33.8274470260145,"343",S4,,
18.8797050005089,-33.829620035897,"344",S5,,
18.8789939658293,-33.8316879588958,"345",S6,,
18.8774459762855,-33.8337490077699,"346",S7,,
18.8761469968534,-33.8344180159238,"347",S8,,
18.8746029635722,-33.835168983042,"348",S9,,
18.8694530024461,-33.8413900413722,"349",S10,,
18.8643099678223,-33.8451490145445,"350",S11,,
18.8625350220851,-33.8461280280439,"351",S12,,
18.8603149919018,-33.8473649873694,"352",S13,,
18.8590299557401,-33.8482850016412,"353",S14,,
18.8577099509919,-33.8495550345635,"354",S15,,
18.8562320250728,-33.851607957201,"355",S16,,
18.8486549510258,-33.8690180167909,"356",S17,,
18.8488760116684,-33.8701590181402,"357",S18,,
18.8475899977742,-33.8829200208618,"358",S19,,
18.848762948018,-33.8853010093666,"359",S20,,
18.849656971536,-33.8863169747304,"360",S21,,
18.8552740435673,-33.8907150433676,"361",S22,,
18.8587069688865,-33.8932979906139,"362",S23,,
18.8593160108199,-33.8945060376822,"363",S24,,
18.8588779867015,-33.9008509727708,"364",S25,,
18.8594250521746,-33.9066530361948,"365",S26,,
18.8584920412519,-33.9165999561036,"366",S27,,
18.8581609611077,-33.9192539861296,"367",S28,,
